"f","l_density"
1210,32.8353724401512
1211,32.8198549221067
1212,32.8043502125804
1213,32.7888582904448
1214,32.7733791346247
1215,32.757912724097
1216,32.7424590378904
1217,32.7270180550853
1218,32.7115897548137
1219,32.696174116259
1220,32.6807711186557
1221,32.6653807412894
1222,32.6500029634968
1223,32.6346377646648
1224,32.6192851242314
1225,32.6039450216845
1226,32.5886174365625
1227,32.5733023484539
1228,32.5579997369969
1229,32.5427095818794
1230,32.527431862839
1231,32.5121665596627
1232,32.4969136521866
1233,32.481673120296
1234,32.4664449439251
1235,32.4512291030569
1236,32.436025577723
1237,32.4208343480032
1238,32.405655394026
1239,32.3904886959677
1240,32.3753342340528
1241,32.3601919885535
1242,32.3450619397898
1243,32.3299440681289
1244,32.3148383539858
1245,32.2997447778224
1246,32.2846633201478
1247,32.2695939615179
1248,32.2545366825356
1249,32.23949146385
1250,32.2244582861572
1251,32.209437130199
1252,32.1944279767639
1253,32.179430806686
1254,32.1644456008457
1255,32.1494723401687
1256,32.1345110056265
1257,32.119561578236
1258,32.1046240390594
1259,32.089698369204
1260,32.0747845498222
1261,32.0598825621111
1262,32.0449923873126
1263,32.0301140067132
1264,32.0152474016438
1265,32.0003925534796
1266,31.98554944364
1267,31.9707180535882
1268,31.9558983648316
1269,31.9410903589211
1270,31.9262940174513
1271,31.9115093220602
1272,31.8967362544291
1273,31.8819747962827
1274,31.8672249293884
1275,31.8524866355569
1276,31.8377598966413
1277,31.8230446945376
1278,31.8083410111844
1279,31.7936488285623
1280,31.7789681286945
1281,31.7642988936463
1282,31.7496411055247
1283,31.7349947464788
1284,31.7203597986994
1285,31.7057362444188
1286,31.6911240659109
1287,31.6765232454908
1288,31.6619337655149
1289,31.6473556083807
1290,31.6327887565265
1291,31.6182331924315
1292,31.6036888986156
1293,31.5891558576395
1294,31.574634052104
1295,31.5601234646503
1296,31.5456240779599
1297,31.5311358747545
1298,31.5166588377953
1299,31.5021929498839
1300,31.4877381938611
1301,31.4732945526076
1302,31.4588620090434
1303,31.444440546128
1304,31.4300301468599
1305,31.415630794277
1306,31.4012424714557
1307,31.3868651615118
1308,31.3724988475996
1309,31.3581435129118
1310,31.34379914068
1311,31.3294657141741
1312,31.3151432167019
1313,31.3008316316099
1314,31.2865309422821
1315,31.272241132141
1316,31.2579621846463
1317,31.2436940832959
1318,31.229436811625
1319,31.2151903532063
1320,31.2009546916498
1321,31.186729810603
1322,31.1725156937502
1323,31.1583123248128
1324,31.1441196875493
1325,31.1299377657547
1326,31.1157665432608
1327,31.1016060039361
1328,31.0874561316853
1329,31.0733169104496
1330,31.0591883242065
1331,31.0450703569694
1332,31.030962992788
1333,31.0168662157477
1334,31.0027800099697
1335,30.988704359611
1336,30.9746392488643
1337,30.9605846619574
1338,30.9465405831539
1339,30.9325069967524
1340,30.9184838870868
1341,30.904471238526
1342,30.8904690354739
1343,30.8764772623691
1344,30.8624959036851
1345,30.8485249439301
1346,30.8345643676467
1347,30.820614159412
1348,30.8066743038375
1349,30.7927447855687
1350,30.7788255892855
1351,30.7649166997017
1352,30.751018101565
1353,30.7371297796572
1354,30.7232517187934
1355,30.7093839038227
1356,30.6955263196275
1357,30.6816789511237
1358,30.6678417832607
1359,30.6540148010208
1360,30.6401979894198
1361,30.6263913335063
1362,30.6125948183619
1363,30.598808429101
1364,30.585032150871
1365,30.5712659688517
1366,30.5575098682555
1367,30.5437638343272
1368,30.5300278523442
1369,30.5163019076161
1370,30.5025859854845
1371,30.4888800713232
1372,30.475184150538
1373,30.4614982085667
1374,30.4478222308787
1375,30.4341562029753
1376,30.4205001103894
1377,30.4068539386852
1378,30.3932176734586
1379,30.3795913003368
1380,30.3659748049782
1381,30.3523681730723
1382,30.3387713903399
1383,30.3251844425326
